semantic_model,dataset,name,dialect,expression,is_time_dimension,description,ai_context_synonyms,cortex_kind,cortex_data_type,cortex_sample_values
ATTENDANCE,DIM_CALENDAR_DATE,CALENDAR_EVENT,SNOWFLAKE,CALENDAR_EVENT,false,,appointment|calendar_entry|calendar_item|event_description|event_name|event_title|event_type|scheduled_event,dimension,VARCHAR,Instructional day|Non-instructional day
ATTENDANCE,DIM_CALENDAR_DATE,IS_SCHOOL_DAY,SNOWFLAKE,IS_SCHOOL_DAY,false,,academic_day|instructional_day|is_class_day|school_in_session|school_session,fact,BOOLEAN,TRUE|FALSE
ATTENDANCE,DIM_CALENDAR_DATE,K_CALENDAR_DATE,SNOWFLAKE,K_CALENDAR_DATE,false,,CALENDAR_CODE_KEY|CALENDAR_DATE_ID|CALENDAR_IDENTIFIER|CALENDAR_KEY|DATE_IDENTIFIER|DATE_KEY,dimension,VARCHAR,
ATTENDANCE,DIM_CALENDAR_DATE,K_SCHOOL,SNOWFLAKE,K_SCHOOL,false,,educational_institution_id|institution_key|school_code|school_id|school_key,dimension,VARCHAR,
ATTENDANCE,DIM_CALENDAR_DATE,K_SCHOOL_CALENDAR,SNOWFLAKE,K_SCHOOL_CALENDAR,false,,academic_calendar_id|calendar_code_key|calendar_system_key|school_calendar_id|school_calendar_key,dimension,VARCHAR,
ATTENDANCE,DIM_CALENDAR_DATE,WEEK_DAY,SNOWFLAKE,WEEK_DAY,false,,day_name|day_of_week|day_type|weekday_code|weekday_name,dimension,VARCHAR,Thu|Wed|Mon
ATTENDANCE,DIM_CALENDAR_DATE,CALENDAR_DATE,SNOWFLAKE,CALENDAR_DATE,true,,calendar_day|calendar_entry_date|date|day_of_calendar|event_date|schedule_date,dimension,DATE,2023-09-27|2023-10-16|2024-01-10
ATTENDANCE,DIM_CALENDAR_DATE,DAY_OF_SCHOOL_YEAR,SNOWFLAKE,DAY_OF_SCHOOL_YEAR,false,,academic_day_count|day_in_school_year|day_of_academic_year|school_day_number|school_year_day_number,fact,NUMBER,45|137|103
ATTENDANCE,DIM_CALENDAR_DATE,SCHOOL_YEAR,SNOWFLAKE,SCHOOL_YEAR,false,,academic_calendar_year|academic_year|education_year|school_academic_year|year_of_study,fact,NUMBER,2026|2025|2024
ATTENDANCE,DIM_CALENDAR_DATE,WEEK_OF_CALENDAR_YEAR,SNOWFLAKE,WEEK_OF_CALENDAR_YEAR,false,,annual_week|calendar_week|week_number|week_of_year|yearly_week,fact,NUMBER,40|10|12
